division;clase;subclase;orden;familia;aceptado;genero;especie;Variedad;Subespecie;autor;nombre;Dir;;clasificacion;basionimo;endemica;zona_vdw;paises_andinotropicales;distribucion_mundial;ecorregion;ecosistema;habito;sustrato;Lista Roja mundial;CategoriaIUCN;CriterioIUCN;AutorCriterio;Revision;Revisor;FechaRevision;Comentarios
Bryophyta;Bryopsida;Bryidae;Hookeriales;Pilotrichaceae;1;Cyclodictyon;cuspidatum;;;Kuntze;Cyclodictyon cuspidatum;Cyclodictyon_cuspidatum;;6;;0;Am 2, Am 3, Am 4, Am 5;;Costa Rica,  Honduras,  Panam†,  Caribe,  Cuba,  Colombia, Ecuador. Colombia  At elevations from 1800-3000 m ,  Colombia: 2500 m,  Ecuador: 1800-3000 m;;;;;;;;;;;;Conocido s¢lo de la colecci¢n tipo
Bryophyta;Bryopsida;Bryidae;Hookeriales;Pilotrichaceae;1;Cyclodictyon;fendleri;;;(MÅll. Hal.) Broth.;Cyclodictyon fendleri;Cyclodictyon_fendleri;;6;;0;;;;;;Ep°fito;Arbol;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hookeriales;Pilotrichaceae;1;Cyclodictyon;jagianum;;;(MÅll. Hal.) Kuntze;Cyclodictyon jagianum;Cyclodictyon_jagianum;;6;;1;Am 4.;Venezuela;Venezuela;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hookeriales;Pilotrichaceae;1;Cyclodictyon;nivale;;;(MÅll. Hal.) Kuntze;Cyclodictyon nivale;Cyclodictyon_nivale;;6;;0;Am 4.;Venezuela y Colombia;;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hookeriales;Pilotrichaceae;1;Cyclodictyon;roridum;;;(Hampe) Kuntze;Cyclodictyon roridum;Cyclodictyon_roridum;;6;;0;Am 2, Am 3, Am 4.;;;;;Sax°cola;Roca;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hookeriales;Pilotrichaceae;1;Cyclodictyon;rubrisetum;;;(Mitt.) Kuntze;Cyclodictyon rubrisetum;Cyclodictyon_rubrisetum;;6;;0;Am 2, Am 4.;;Bolivia,  Colombia,  Honduras,  Per£  , Venezuela,  Ecuador, MÇxico,  AmÇrica Central. Colombia  At elevations from 1800-3000 m Venezuela: ? m,  Colombia: 2500 m,  Ecuador: 1800-3000 m;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hookeriales;Pilotrichaceae;1;Cyclodictyon;varians;;;(Sull.) Kuntze;Cyclodictyon varians;Cyclodictyon_varians;;6;;0;Am 2, Am 3, Am 4;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Thuidiaceae;1;Cyrto-hypnum;frontinoae;;;(MÅll Hall.) S. P. Churchill & E. Linares C.;Cyrto-hypnum frontinoae;Cyrto-hypnum_frontinoae;;6;;0;Am 4.;Venezuela y Colombia;Venezuela  Colombia,  Brasil. At 2460 m elevation (Venezuela: ? m, Colombia: 2460 m). Venezuela and Colombia, possibly Brasil. (Tr¢picos A);;;;;Venezuela;EN;A3c;Le¢n & Ussher 2013;;;;En Pittier 1936 como Thuidium frontinoae (MÅll. Hal.) A. Jaege
Bryophyta;Bryopsida;Bryidae;Hookeriales;Daltoniaceae;1;Daltonia;bilimbata;;;Hampe;Daltonia bilimbata;Daltonia_bilimbata;;6;;0;Am 4.;Venezuela, Colombia, Ecuador y Per£;Colombia, Ecuador, Per£, Venezuela;;;Lign°cola;Tronco en descomposici¢n;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hookeriales;Daltoniaceae;1;Daltonia;gracilis;;;Mitt.;Daltonia gracilis;Daltonia_gracilis;;6;;0;Am 2, Am 3, Am 4, Am 5, Am 6;;;;;Ep°fito, Lign°cola;Tronco # Madera en descomposici¢n;;;;;;;;Epifito sobre nudos de Chusquea, sobre tallo muerto de Espeletia paltonioides 
